disAcodeNum	disAcode	disAname	disBcodeNum	disBcode	disBname	patTotal	patWdisA	patWdisB	patWdisAB	patWdisAnotB	patWdisBnotA	patWOdisAB	relativeRiskIndex	phiIndex	oddsRatioIndex	oddsRatio95CI_upper	oddsRatio95CI_lower	fisherTest	fisherTestAdjusted	expect	score	femaleWithDisA	femaleWithDisB	femaleWithDisAandB	maleWithDisA	maleWithDisB	maleWithDisAandB	sexRatioBA	sexRatioAB
79	714	Rheumatoid arthritis	14	V85.30	Body Mass Index 30.0-30.9, adult	1095	3	439	1	2	438	654	0.83144	-0.00723	0.74658	8.25854	0.06749	1.0000000000	1.0000000000	1.20274	-0.13930	2	226	1	1	213	0	5.42495	1.09861
22	642.63	Eclampsia, antepartum condition or complication	83	153.9	Malignant neoplasm of colon, unspecified site	1095	96	6	0	96	6	993	0.00000	-0.02301	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.52603	-0.60978	96	4	0	0	2	0	0.00000	0.00000
86	199.1	Other malignant neoplasm without specification of site	66	715.14	Osteoarthrosis, localized, primary, hand	1095	1	28	0	1	28	1066	0.00000	-0.00490	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.02557	-0.03643	0	19	0	1	9	0	0.00000	0.00000
85	303.9	Other and unspecified alcohol dependence, unspecified	66	715.14	Osteoarthrosis, localized, primary, hand	1095	5	28	0	5	28	1062	0.00000	-0.01097	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.12785	-0.17358	0	19	0	5	9	0	0.00000	0.00000
84	854	Intracranial injury of other and unspecified nature without mention of open intracranial wound, unspecified state of consciousness	66	715.14	Osteoarthrosis, localized, primary, hand	1095	4	28	0	4	28	1063	0.00000	-0.00981	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.10228	-0.14049	0	19	0	4	9	0	0.00000	0.00000
83	153.9	Malignant neoplasm of colon, unspecified site	66	715.14	Osteoarthrosis, localized, primary, hand	1095	6	28	1	5	27	1062	6.51786	0.06635	7.86667	69.64292	0.88860	0.1442534615	1.0000000000	0.15342	0.79408	4	19	1	2	9	0	2.99573	1.60944
81	800.09	Closed fracture of vault of skull without mention of intracranial injury, with concussion, unspecified	66	715.14	Osteoarthrosis, localized, primary, hand	1095	7	28	0	7	28	1060	0.00000	-0.01299	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.17900	-0.23756	1	19	0	6	9	0	0.00000	0.00000
80	491.2	Obstructive chronic bronchitis without exacerbation	66	715.14	Osteoarthrosis, localized, primary, hand	1095	6	28	0	6	28	1061	0.00000	-0.01202	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.15342	-0.20592	4	19	0	2	9	0	0.00000	0.00000
79	714	Rheumatoid arthritis	66	715.14	Osteoarthrosis, localized, primary, hand	1095	3	28	0	3	28	1064	0.00000	-0.00849	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.07671	-0.10663	2	19	0	1	9	0	0.00000	0.00000
78	274.9	Gout, unspecified	66	715.14	Osteoarthrosis, localized, primary, hand	1095	4	28	0	4	28	1063	0.00000	-0.00981	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.10228	-0.14049	0	19	0	4	9	0	0.00000	0.00000
77	274.89	Gout with other specified manifestations	66	715.14	Osteoarthrosis, localized, primary, hand	1095	4	28	0	4	28	1063	0.00000	-0.00981	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.10228	-0.14049	0	19	0	4	9	0	0.00000	0.00000
76	575	Acute cholecystitis	66	715.14	Osteoarthrosis, localized, primary, hand	1095	9	28	1	8	27	1059	4.34524	0.04933	4.90278	40.58755	0.59223	0.2086364532	1.0000000000	0.23014	0.70118	7	19	1	2	9	0	2.99573	2.07944
75	574.2	Calculus of gallbladder without mention of cholecystitis, without mention of obstruction	66	715.14	Osteoarthrosis, localized, primary, hand	1095	9	28	1	8	27	1059	4.34524	0.04933	4.90278	40.58755	0.59223	0.2086364532	1.0000000000	0.23014	0.70118	7	19	1	2	9	0	2.99573	2.07944
74	486	Pneumonia, organism unspecified	66	715.14	Osteoarthrosis, localized, primary, hand	1095	7	28	0	7	28	1060	0.00000	-0.01299	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.17900	-0.23756	3	19	0	4	9	0	0.00000	0.00000
