disAcodeNum	disAcode	disAname	disBcodeNum	disBcode	disBname	patTotal	patWdisA	patWdisB	patWdisAB	patWdisAnotB	patWdisBnotA	patWOdisAB	relativeRiskIndex	phiIndex	oddsRatioIndex	oddsRatio95CI_upper	oddsRatio95CI_lower	fisherTest	fisherTestAdjusted	expect	score	femaleWithDisA	femaleWithDisB	femaleWithDisAandB	maleWithDisA	maleWithDisB	maleWithDisAandB	sexRatioBA	sexRatioAB
79	714	Rheumatoid arthritis	14	V85.30	Body Mass Index 30.0-30.9, adult	529	2	226	1	1	225	302	1.17035	0.00906	1.34222	21.57439	0.08350	1.0000000000	1.0000000000	0.85444	0.10901	2	226	1	1	213	0	5.42495	1.09861
22	642.63	Eclampsia, antepartum condition or complication	83	153.9	Malignant neoplasm of colon, unspecified site	529	96	4	0	96	4	429	0.00000	-0.04110	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.72590	-0.78735	96	4	0	0	2	0	0.00000	0.00000
86	199.1	Other malignant neoplasm without specification of site	66	715.14	Osteoarthrosis, localized, primary, hand	529	0	19	0	0	19	510	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	0	19	0	1	9	0	0.00000	0.00000
85	303.9	Other and unspecified alcohol dependence, unspecified	66	715.14	Osteoarthrosis, localized, primary, hand	529	0	19	0	0	19	510	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	0	19	0	5	9	0	0.00000	0.00000
84	854	Intracranial injury of other and unspecified nature without mention of open intracranial wound, unspecified state of consciousness	66	715.14	Osteoarthrosis, localized, primary, hand	529	0	19	0	0	19	510	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	0	19	0	4	9	0	0.00000	0.00000
83	153.9	Malignant neoplasm of colon, unspecified site	66	715.14	Osteoarthrosis, localized, primary, hand	529	4	19	1	3	18	507	6.96053	0.10042	9.38889	94.72794	0.93057	0.1364774641	1.0000000000	0.14367	0.80633	4	19	1	2	9	0	2.99573	1.60944
81	800.09	Closed fracture of vault of skull without mention of intracranial injury, with concussion, unspecified	66	715.14	Osteoarthrosis, localized, primary, hand	529	1	19	0	1	19	509	0.00000	-0.00840	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.03592	-0.05091	1	19	0	6	9	0	0.00000	0.00000
80	491.2	Obstructive chronic bronchitis without exacerbation	66	715.14	Osteoarthrosis, localized, primary, hand	529	4	19	0	4	19	506	0.00000	-0.01685	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.14367	-0.19367	4	19	0	2	9	0	0.00000	0.00000
79	714	Rheumatoid arthritis	66	715.14	Osteoarthrosis, localized, primary, hand	529	2	19	0	2	19	508	0.00000	-0.01189	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.07183	-0.10008	2	19	0	1	9	0	0.00000	0.00000
78	274.9	Gout, unspecified	66	715.14	Osteoarthrosis, localized, primary, hand	529	0	19	0	0	19	510	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	0	19	0	4	9	0	0.00000	0.00000
77	274.89	Gout with other specified manifestations	66	715.14	Osteoarthrosis, localized, primary, hand	529	0	19	0	0	19	510	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	0	19	0	4	9	0	0.00000	0.00000
76	575	Acute cholecystitis	66	715.14	Osteoarthrosis, localized, primary, hand	529	7	19	1	6	18	504	3.97744	0.06655	4.66667	40.81409	0.53358	0.2270456809	1.0000000000	0.25142	0.67644	7	19	1	2	9	0	2.99573	2.07944
75	574.2	Calculus of gallbladder without mention of cholecystitis, without mention of obstruction	66	715.14	Osteoarthrosis, localized, primary, hand	529	7	19	1	6	18	504	3.97744	0.06655	4.66667	40.81409	0.53358	0.2270456809	1.0000000000	0.25142	0.67644	7	19	1	2	9	0	2.99573	2.07944
74	486	Pneumonia, organism unspecified	66	715.14	Osteoarthrosis, localized, primary, hand	529	3	19	0	3	19	507	0.00000	-0.01458	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.10775	-0.14763	3	19	0	4	9	0	0.00000	0.00000
73	484.8	Pneumonia in other infectious diseases classified elsewhere	66	715.14	Osteoarthrosis, localized, primary, hand	529	3	19	0	3	19	507	0.00000	-0.01458	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.10775	-0.14763	3	19	0	4	9	0	0.00000	0.00000
72	309.81	Posttraumatic stress disorder	66	715.14	Osteoarthrosis, localized, primary, hand	529	1	19	0	1	19	509	0.00000	-0.00840	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.03592	-0.05091	1	19	0	3	9	0	0.00000	0.00000
