disAcodeNum	disAcode	disAname	disBcodeNum	disBcode	disBname	patTotal	patWdisA	patWdisB	patWdisAB	patWdisAnotB	patWdisBnotA	patWOdisAB	relativeRiskIndex	phiIndex	oddsRatioIndex	oddsRatio95CI_upper	oddsRatio95CI_lower	fisherTest	fisherTestAdjusted	expect	score	femaleWithDisA	femaleWithDisB	femaleWithDisAandB	maleWithDisA	maleWithDisB	maleWithDisAandB	sexRatioBA	sexRatioAB
118	48333001	Burn injury(morphologic abnormality)	55	126906006	Neoplasm of prostate	1095	1	24	0	1	24	1070	0.00000	-0.00453	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.02192	-0.03128	0	0	0	1	24	0	0.00000	0.00000
119	275272006	Brain damage - traumatic	55	126906006	Neoplasm of prostate	1095	4	24	2	2	22	1069	22.81250	0.19771	48.59091	360.80905	6.54384	0.0026911050	0.0547074043	0.08767	1.46372	0	0	0	4	24	2	-2.56495	-1.09861
120	162573006	Suspected lung cancer (situation)	55	126906006	Neoplasm of prostate	1095	8	24	1	7	23	1064	5.70312	0.06040	6.60870	55.92480	0.78096	0.1629473009	0.7879650300	0.17534	0.76692	0	0	0	8	24	1	-3.21888	-2.19722
121	254637007	Non-small cell lung cancer (disorder)	55	126906006	Neoplasm of prostate	1095	8	24	1	7	23	1064	5.70312	0.06040	6.60870	55.92480	0.78096	0.1629473009	0.7879650300	0.17534	0.76692	0	0	0	8	24	1	-3.21888	-2.19722
123	195967001	Asthma	55	126906006	Neoplasm of prostate	1095	2	24	0	2	24	1069	0.00000	-0.00640	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.04384	-0.06189	1	0	0	1	24	0	0.00000	0.00000
126	698754002	Chronic paralysis due to lesion of spinal cord	55	126906006	Neoplasm of prostate	1095	2	24	0	2	24	1069	0.00000	-0.00640	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.04384	-0.06189	2	0	0	0	24	0	0.00000	0.00000
127	431856006	Chronic kidney disease stage 2 (disorder)	55	126906006	Neoplasm of prostate	1095	5	24	1	4	23	1067	9.12500	0.08238	11.59783	107.84749	1.24722	0.1050729530	0.6374086950	0.10959	0.84997	3	0	0	2	24	1	-3.21888	-1.09861
128	86849004	Suicidal deliberate poisoning	55	126906006	Neoplasm of prostate	1095	1	24	1	0	23	1071	45.62500	0.20197	0.00000	0.00000	0.00000	0.0219178082	0.2664744052	0.02192	0.96872	0	0	0	1	24	1	-3.21888	-0.69315
130	314994000	Metastasis from malignant tumor of prostate (disorder)	55	126906006	Neoplasm of prostate	1095	1	24	1	0	23	1071	45.62500	0.20197	0.00000	0.00000	0.00000	0.0219178082	0.2664744052	0.02192	0.96872	0	0	0	1	24	1	-3.21888	-0.69315
131	93761005	Primary malignant neoplasm of colon	55	126906006	Neoplasm of prostate	1095	5	24	0	5	24	1066	0.00000	-0.01014	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.10959	-0.15003	3	0	0	2	24	0	0.00000	0.00000
132	69896004	Rheumatoid arthritis	55	126906006	Neoplasm of prostate	1095	3	24	0	3	24	1068	0.00000	-0.00785	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.06575	-0.09187	2	0	0	1	24	0	0.00000	0.00000
114	449868002	Smokes tobacco daily	2	43878008	Streptococcal sore throat (disorder)	1095	9	523	6	3	517	569	1.39579	0.03445	2.20116	8.84628	0.54770	0.3238371100	1.0000000000	4.29863	0.40174	2	246	1	7	277	5	1.47692	0.22314
114	449868002	Smokes tobacco daily	3	65363002	Otitis media	1095	9	580	4	5	576	510	0.83908	-0.01555	0.70833	2.65205	0.18919	0.7419231185	1.0000000000	4.76712	-0.20592	2	277	1	7	303	3	1.00265	-0.10536
119	275272006	Brain damage - traumatic	4	195662009	Acute viral pharyngitis (disorder)	1095	4	890	4	0	886	205	1.23034	0.02906	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	3.25114	0.23408	0	430	0	4	460	4	-4.75359	-0.69315
127	431856006	Chronic kidney disease stage 2 (disorder)	9	44465007	Sprain of ankle	1095	5	362	5	0	357	733	3.02486	0.09638	0.00000	0.00000	0.00000	0.0038761159	0.0736462024	1.65297	1.17736	3	185	3	2	177	2	-0.35641	0.00000
128	86849004	Suicidal deliberate poisoning	9	44465007	Sprain of ankle	1095	1	362	0	1	362	732	0.00000	-0.02125	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.33059	-0.41207	0	185	0	1	177	0	0.00000	0.00000
118	48333001	Burn injury(morphologic abnormality)	3	65363002	Otitis media	1095	1	580	1	0	579	515	1.88793	0.02849	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.52968	0.38677	0	277	0	1	303	1	-5.71703	-0.69315
123	195967001	Asthma	3	65363002	Otitis media	1095	2	580	1	1	579	514	0.94397	-0.00254	0.88774	14.22891	0.05539	1.0000000000	1.0000000000	1.05936	-0.04220	1	277	0	1	303	1	-5.71703	-0.69315
126	698754002	Chronic paralysis due to lesion of spinal cord	3	65363002	Otitis media	1095	2	580	0	2	580	513	0.00000	-0.04540	0.00000	0.00000	0.00000	0.2209728448	0.8794911525	1.05936	-1.04220	2	277	0	0	303	0	0.00000	0.00000
127	431856006	Chronic kidney disease stage 2 (disorder)	3	65363002	Otitis media	1095	5	580	3	2	577	513	1.13276	0.00954	1.33362	8.01283	0.22196	1.0000000000	1.0000000000	2.64840	0.13274	3	277	1	2	303	2	0.60046	0.69315
131	93761005	Primary malignant neoplasm of colon	113	443165006	Pathological fracture due to osteoporosis (disorder)	1095	5	10	0	5	10	1080	0.00000	-0.00650	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.04566	-0.06442	3	7	0	2	3	0	0.00000	0.00000
130	314994000	Metastasis from malignant tumor of prostate (disorder)	113	443165006	Pathological fracture due to osteoporosis (disorder)	1095	1	10	0	1	10	1084	0.00000	-0.00290	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00913	-0.01312	0	7	0	1	3	0	0.00000	0.00000
129	47505003	Posttraumatic stress disorder	113	443165006	Pathological fracture due to osteoporosis (disorder)	1095	4	10	0	4	10	1081	0.00000	-0.00581	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.03653	-0.05176	1	7	0	3	3	0	0.00000	0.00000
128	86849004	Suicidal deliberate poisoning	113	443165006	Pathological fracture due to osteoporosis (disorder)	1095	1	10	0	1	10	1084	0.00000	-0.00290	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00913	-0.01312	0	7	0	1	3	0	0.00000	0.00000
127	431856006	Chronic kidney disease stage 2 (disorder)	113	443165006	Pathological fracture due to osteoporosis (disorder)	1095	5	10	0	5	10	1080	0.00000	-0.00650	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.04566	-0.06442	3	7	0	2	3	0	0.00000	0.00000
126	698754002	Chronic paralysis due to lesion of spinal cord	113	443165006	Pathological fracture due to osteoporosis (disorder)	1095	2	10	0	2	10	1083	0.00000	-0.00411	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.01826	-0.02611	2	7	0	0	3	0	0.00000	0.00000
125	1734006	Fracture of the vertebral column with spinal cord injury	113	443165006	Pathological fracture due to osteoporosis (disorder)	1095	5	10	0	5	10	1080	0.00000	-0.00650	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.04566	-0.06442	3	7	0	2	3	0	0.00000	0.00000
124	1501000119109	Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder)	113	443165006	Pathological fracture due to osteoporosis (disorder)	1095	1	10	0	1	10	1084	0.00000	-0.00290	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00913	-0.01312	1	7	0	0	3	0	0.00000	0.00000
123	195967001	Asthma	113	443165006	Pathological fracture due to osteoporosis (disorder)	1095	2	10	0	2	10	1083	0.00000	-0.00411	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.01826	-0.02611	1	7	0	1	3	0	0.00000	0.00000
121	254637007	Non-small cell lung cancer (disorder)	113	443165006	Pathological fracture due to osteoporosis (disorder)	1095	8	10	0	8	10	1077	0.00000	-0.00824	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.07306	-0.10173	0	7	0	8	3	0	0.00000	0.00000
