disAcodeNum	disAcode	disAname	disBcodeNum	disBcode	disBname	patTotal	patWdisA	patWdisB	patWdisAB	patWdisAnotB	patWdisBnotA	patWOdisAB	relativeRiskIndex	phiIndex	oddsRatioIndex	oddsRatio95CI_upper	oddsRatio95CI_lower	fisherTest	fisherTestAdjusted	expect	score	femaleWithDisA	femaleWithDisB	femaleWithDisAandB	maleWithDisA	maleWithDisB	maleWithDisAandB	sexRatioBA	sexRatioAB
118	48333001	Burn injury(morphologic abnormality)	55	126906006	Neoplasm of prostate	529	0	0	0	0	0	529	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	0	0	0	1	24	0	0.00000	0.00000
119	275272006	Brain damage - traumatic	55	126906006	Neoplasm of prostate	529	0	0	0	0	0	529	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	0	0	0	4	24	2	-2.56495	-1.09861
120	162573006	Suspected lung cancer (situation)	55	126906006	Neoplasm of prostate	529	0	0	0	0	0	529	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	0	0	0	8	24	1	-3.21888	-2.19722
121	254637007	Non-small cell lung cancer (disorder)	55	126906006	Neoplasm of prostate	529	0	0	0	0	0	529	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	0	0	0	8	24	1	-3.21888	-2.19722
123	195967001	Asthma	55	126906006	Neoplasm of prostate	529	1	0	0	1	0	528	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	1	0	0	1	24	0	0.00000	0.00000
126	698754002	Chronic paralysis due to lesion of spinal cord	55	126906006	Neoplasm of prostate	529	2	0	0	2	0	527	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	2	0	0	0	24	0	0.00000	0.00000
127	431856006	Chronic kidney disease stage 2 (disorder)	55	126906006	Neoplasm of prostate	529	3	0	0	3	0	526	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	3	0	0	2	24	1	-3.21888	-1.09861
128	86849004	Suicidal deliberate poisoning	55	126906006	Neoplasm of prostate	529	0	0	0	0	0	529	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	0	0	0	1	24	1	-3.21888	-0.69315
130	314994000	Metastasis from malignant tumor of prostate (disorder)	55	126906006	Neoplasm of prostate	529	0	0	0	0	0	529	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	0	0	0	1	24	1	-3.21888	-0.69315
131	93761005	Primary malignant neoplasm of colon	55	126906006	Neoplasm of prostate	529	3	0	0	3	0	526	0.00000	0.00000	0.00000	0.00000	0.00000	1.0000000000	1.0000000000	0.00000	0.00000	3	0	0	2	24	0	0.00000	0.00000
